,dia,descricao
0,05/10/2021 09:00,"Despachos internos.
Local: Palácio Guanabara - Rua Pinheiro Machado, s/n°, Laranjeiras, Rio de Janeiro."
1,04/10/2021 09:00,"Seminário sobre os 25 anos da Lei da Arbitragem.
Local: Hotel Fairmont Copacabana - Avenida Atlântica, 4.240."
2,30/09/2021 17:00,"Anúncio do Plano de Cargos, Carreiras e Salários da Secretaria de Saúde.
Local: Palácio Guanabara - Rua Pinheiro Machado, s/n°, Laranjeiras, Rio de Janeiro."
3,30/09/2021 10:00,"Inauguração da Usina Termelétrica GNA I.
Local: Porto do Açu - São João da Barra."
4,28/09/2021 09:30,"Cláudio Castro recebe a segunda dose de vacina contra a Covid-19.
Local: 17º Grupamento de Bombeiros Militar - Rua Xavier da Silveira, 120 - Copacabana, Rio de Janeiro."
5,27/09/2021 12:00,"Inauguração do Centro Integrado de Segurança Pública Regional - Sudeste.
Local: Palácio dos Bandeirantes – Avenida Morumbi, 4.500 – São Paulo."
6,24/09/2021 09:00,"Despachos internos.
Local: Palácio Guanabara - Rua Pinheiro Machado, s/n°, Laranjeiras, Rio de Janeiro."
7,23/09/2021 09:00,"Despachos internos.
Local: Palácio Guanabara - Rua Pinheiro Machado, s/n°, Laranjeiras, Rio de Janeiro."
8,22/09/2021 09:30,"Lançamento do Plano Estratégico Novo Rumo São Gonçalo.
Local: Teatro Municipal George Savalla Gomes - Rua Dr. Feliciano Sodré, 100, Centro de São Gonçalo."
9,21/09/2021 09:00,"Despachos internos.
Local: Palácio Guanabara - Rua Pinheiro Machado, s/n°, Laranjeiras, Rio de Janeiro."
10,20/09/2021 09:00,"Despachos internos.
Local: Palácio Guanabara - Rua Pinheiro Machado, s/n°, Laranjeiras, Rio de Janeiro."
11,17/09/2021 09:00,"Anúncio da retomada das obras de construção do Conjunto Habitacional Boa Vista, em Laje do Muriaé.
Local: Campo Municipal do Nova Laje (Rua Marieta Torres Pessoa, Nova Laje, ao lado da rodoviária)."
12,16/09/2021 10:00,"Lançamento do programa habitacional Casa da Gente.
Local: Salão Nobre do Palácio Guanabara - Rua Pinheiro Machado, s/nº - Laranjeiras, Rio de Janeiro."
13,15/09/2021 17:00,"Entrega do certificado com valores da concessão dos serviços da Cedae para Cachoeira de Macacu
Local: Prefeitura de Cachoeiras de Macacu - Rua Osvaldo Marquês- Centro"
14,15/09/2021 16:00,"Entrega do certificado com valores da concessão dos serviços da Cedae para Itaboraí
Local: Praça Marechal Floriano Peixoto - Centro"
15,15/09/2021 14:30,"Entrega do certificado com valores da concessão dos serviços da Cedae para Tanguá
Local: Secretaria Municipal de Educação - Rua Vereador Manoel de Macedo, 1.040 - Centro"
16,15/09/2021 10:00,"Comemoração do aniversário de 162 anos de Casimiro de Abreu.
Local: Parque de Exposições Henrique Baptista Sarzedas - BR-101 - km 205."
17,14/09/2021 10:00,"Lançamento do Portal da Transparência do PactoRJ.
Local: Windsor Marapendi – Av. Lúcio Costa 5.400 - Barra da Tijuca."
18,13/09/2021 10:00,"Repasse de recursos oriundos da concessão da Cedae à Prefeitura do Rio.
Local: Palácio da Cidade, à Rua São Clemente 360, Botafogo, Rio de Janeiro."
19,10/09/2021 11:00,"Assinatura do protocolo de intenções com a Petrobras para a cessão de áreas do Polo GasLub.
Local: Palácio Guanabara - Rua Pinheiro Machado, s/n°, Laranjeiras."
20,09/09/2021 13:00,Reuniões em Brasília.
21,08/09/2021 10:00,"Webinário ""Cidades Inteligentes"".
Local: Palácio Laranjeiras."
22,08/09/2021 09:00,"Reunião com representantes dos Poderes do Estado do Rio para discutir obrigações do Regime de Recuperação Fiscal.
Local: Palácio Laranjeiras."
23,03/09/2021 11:00,"Lançamento da ampliação da Operação Segurança Presente em Niterói.
Local: 12º Batalhão de Polícia Militar - Av. Jansen de Melo, 843-899 - Centro de Niterói."
24,02/09/2021 14:00,"Despachos internos.
Local: Palácio Guanabara - Rua Pinheiro Machado, s/n°, Laranjeiras."
25,02/09/2021 10:30,"Reunião com o procurador-geral de Justiça, Luciano Mattos.
Local: Ministério Público do Estado do Rio de Janeiro - Avenida Marechal Câmara, 370 - Centro do Rio."
26,01/09/2021 09:00,Reuniões em Brasília.
27,31/08/2021 09:00,"Despachos internos.
Local: Palácio Guanabara - Rua Pinheiro Machado, s/n°, Laranjeiras."
28,30/08/2021 11:00,"Assinatura de cofinanciamentos entre o Governo do Estado e os 92 municípios fluminenses.
Local: Palácio Guanabara - Rua Pinheiro Machado, s/n°, Laranjeiras."
29,27/08/2021 11:00,"Lançamento do Pacto Cultural RJ, uma iniciativa de fomento às artes.
Local: Teatro João Caetano, Praça Tiradentes, s/nº, Centro do Rio de Janeiro."
